name
Donald J. Trump
Donald Trump
Al D'Amato
Al D’Amato
Al Franken
Al Gore
Alan Cranston
Alan Dixon
Alan J. Dixon
Alan John Dixon
Alan K. Simpson
Alan Simpson
Albert Arnold Gore
Albert Gore
"Albert Gore, Jr."
Albert Qor
Albertus Arnoldus Gore
Alfonse D'Amato
Alfonse D’Amato
Alfonse M. D'Amato
Amy Klobuchar
Amy Klobucharová
Angus King
"Angus S. King, Jr."
Arlen Specter
Baiden Džo
Barack Hussein Obama
Barack Obama
Baracus Obama
Barak Obama
Baraks Obama
Baraq Husseyın Obama II
Barbara A. Mikulski
Barbara Boxer
Barbara Mikulski
Barry Goldwater
Barry Morris Goldwater
Ben Campbell
Ben Cardin
Ben Nelson
Ben Nighthorse
Ben Nighthorse Campbell
Ben Sasse
Benjamin L. Cardin
Bennett Johnston
"Bennett Johnston, Jr."
Berijs Goldvoters
Bernard Sanders
Bernardus Sanders
Berni Sanders
Bernie Sanders
Bill Bradley
Bill Cassidy
Bill Frist
Bill Nelson
Bills Bredlijs
Blanche Lincoln
Bob Bennett
Bob Casey
Bob Casey Jr.
Bob Casey mlajši
"Bob Casey, Jr."
Bob Corker
Bob Dole
Bob Graham
Bob Kasten
Bob Kerrey
Bob Krueger
Bob Menendez
"Bob P. Casey, Jr."
Bob Packwood
Bob Smith
Brian Schatz
Brian Schatze
Brock Adams
Brockman Adams
byRAK.obamas
Byron Dorgan
Bă-lăk Ĕu-bă-mā
Bērnijs Sanderss
Carl Levin
Carol Moseley Braun
Carol Moseley-Braun
Carolus Spittal Robb
Carte Goodwin
Carte P. Goodwin
Catherine Cortez Masto
Charles E. Schumer
Charles Ellis Schumer
Charles H. Percy
Charles Mathias
"Charles Mathias, Jr."
Charles Percy
Charles Robb
Charles Schumer
Chic Hecht
Chris Coons
Chris Dodd
Chris Murphy
Chris Van Hollen
Christopher A. Coons
Christopher Coons
Christopher Dodd
Christopher Murphy
Christophorus Ioannes Dodd
Christophorus Samuel Bond
Chuck Grassley
Chuck Hagel
Chuck Robb
Chuck Schumer
Cindy Hyde-Smith
Claiborne Pell
Claire McCaskill
Clara McCaskill
Clarence Gulielmus Nelson
Clarence William Nelson
Co Bayden
Con Kerri
Con Makkeyn
Con Qlenn
Connie Mack III
"Connie Mack, III"
Conrad Burns
Cory A. Booker
Cory Anthony Booker
Cory Booker
Cory Gardener
Cory Gardner
Craig L. Thomas
Craig Thomas
Dags Džonss
Dale Bumpers
Dan Coats
Dan Quayle
Dan Sullivan
Danforth Quayle
Daniel Akaka
Daniel Coats
Daniel Evans
Daniel Inouye
Daniel J. Evans
Daniel K. Akaka
Daniel K. Inouye
Daniel Moynihan
Daniel Patrick Moynihan
Daniel Ray Coats
Daniel S. Sullivan
David Boren
David Durenberger
David Karnes
David L. Boren
David Perdue
David Pryor
David Vitter
Dean Barkley
Dean Heller
Deb Fischer
Debbie Stabenow
Dee Huddleston
Den Kueyl
Denjels Inoue
Dennis DeConcini
Dens Kveils
Diana Feinstein
Dianne Feinstein
Dick Durbin
Dick Lugar
Dirk Kempthorne
Don Nickles
Donald Riegle
"Donald Riegle, Jr."
Donald W. Riegle
Donald W. Riegle mlajši
"Donald W. Riegle, Jr."
Doug Jones
Džo Baidens
Džons Edvardss
Džons Glenns
Džons Kerijs
Džons Makeins
Džordž Vojnovič
Earl Beniaminus Nelson
Ed Markey
Eduardus Moore Kennedy
Edvard Kennedi
Edvard Kennedī
Edvard Mur Kenedi
Edward J. Markey
Edward Kaufman
Edward Kennedy
Edward M. Kennedy
Edward Moore Kennedy
Edward Zorinsky
Edwin Jacob Garn
Elizabet Uorren
Elizabeth Dole
Elizabeth Warren
Elizabeth Warrenová
Els Gors
Ernest Hollings
Evan Bayh
Francis Hughes Murkowski
Frank Lautenberg
Frank Murkowski
Frank R. Lautenberg
Fred D.Thompson
Fred Thompson
Fred Thomson
Fred Tomson
Fritz Hollings
Gary C. Peters
Gary Hart
Gary Peters
George Allen
George Felix Allen
George J. Mitchell
George John Mitchell Jr.
George LeMieux
George Mitchell
George Voinovich
Georgius Felix Allen
Georgius LeMieux
Goffredus Flake
Gordon H. Smith
Gordon Humphrey
Gordon J. Humphrey
Gordon Smith
H. John Heinz III
H.ジョン・ハインツ三世
Hank Brown
Harlan Mathews
Harris Wofford
Harrison A. Williams
Harrison Hagan Schmitt
Harrison Schmitt
"Harrison Williams, Jr."
Harry Byrd jr.
"Harry Byrd, Jr."
Harry F. Byrd
Harry F. Byrd mlajši
"Harry F. Byrd, Jr."
Harry Reid
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama
Heidi Heitkamp
Henricus Reid
"Henry Heinz, III"
Henry Jackson
Henry John Heinz
Henry John Heinz III.
Henry M. Jackson
Henry Martin Jackson
Herb Kohl
Herbert Kohl
Hilaria Clinton
Hilarija Klintone
Hilarė Klėntuon
Hillari Klinton
Hillary Clinton
Hillary Clintonová
Hillary Rodham Clinton
Howard Baker
"Howard Baker, Jr."
Howard Cannon
Howard Metzenbaum
Howard W. Cannon
Howell Heflin
H·約翰·海恩茲三世
H·约翰·海恩兹三世
Iacobus Risch
Ieremiah Andreas Denton
Iesse Alexander Helms
Ioannes Antonius Barrasso
Ioannes Boozman
Ioannes David Ashcroft
Ioannes Davison Rockefeller
Ioannes Ensign
Ioannes Glenn
Ioannes Llewellyn Kyl
Ioannes McCain
Ioannes Tester
Iohannes Isakson
Iohannes Kerry
Ioseph Antonius Manchin
Ioseph Lieberman
Iosephus Biden
J. Bennett Johnston
J. Bennett Johnston mlajši
"J. Bennett Johnston, Jr."
J. James Exon
Jack Reed
Jacky Rosen
Jacob Hecht
Jake Garn
James A. McClure
James Abdnor
James Broyhill
James E. Risch
James Exon
James Inhofe
James Jeffords
James Lankford
James M. Inhofe
James McClure
James Sanford
James Sasser
Jay Rockefeller
Jean Carnahan
Jeanne Shaheen
Jeff Bingaman
Jeff Chiesa
Jeff Flake
Jeff Merkley
Jeff Sessions
Jefferson Sessions
Jeffrey Chiesa
Jennings Randolph
Jeremiah Denton
"Jeremiah Denton, Jr."
Jerry Moran
Jesse Helms
Jim Broyhill
Jim Bunning
Jim DeMint
Jim Inhofe
Jim Jeffords
Jim Mountain Inhofe
Jim Risch
Jim Sasser
Jim Talent
Jim Webb
Jocelyn Birch Burdick
Jocelyn Burdick
Joe Biden
Joe Donnelly
Joe Lieberman
Joe Manchin
"Joe Manchin, III"
John Ashcroft
John Barrasso
John Barrosso
John Boozman
John Breaux
John C. Danforth
John C. Stennis
John Chafee
John Cornelius Stennis
John Cornyn
"John D. Rockefeller, IV"
John Danforth
John David Ashcroft
John E. Sununu
John E. Walsh
John East
John Edwards
John Ensign
John F. Kerry
John F. Reed
John F. Seymour
John Glenn
"John Glenn, Jr."
John Heinz
John Heinz III
John Herschel Glenn
John Hoeven
John J. Exon
"John Johnston, Jr."
John Kennedy
John Kerry
John Lester Hubbard Chafee
John Mc Cain
John McCain
John Melcher
John N. Kennedy
John Neely Kennedy
John Porter East
John Seymour
John Stennis
John Sununu
John Thune
John Tower
John Walsh
John Warner
John William Warner
Johnny Isakson
Jon Corzine
Jon Kyl
Jon Llewellyn Kyl
Jon Tester
Joni Ernst
Joseph Biden
"Joseph Biden, Jr."
Joseph I. Lieberman
Joseph Lieberman
Josh Hawley
Jow Bayden
Judd Gregg
J・ベネット・ジョンストン・ジュニア
Kamala D. Harris
Kamala Harris
Kay Bailey Hutchinson
Kay Bailey Hutchison
Kay Hagan
Kay R. Hagan
Kelly Ayotte
Ken Salazar
Kent Conrad
Kevin Cramer
Kirsten E. Gillibrand
Kirsten Gillibrand
Kirstena Džilibrenda
Kit Bond
Kyrsten Sinema
Lamar Alexander
Larry Craig
Larry Lee Pressler
Larry Pressler
Lauch Faircloth
Lawton Chiles
"Lawton Chiles, Jr."
Lincoln Chafee
Lindsey Graham
Lisa Murkowski
Lloyd Bentsen
"Lloyd Bentsen, Jr."
Lowell P. Weicker
"Lowell P. Weicker, Jr."
Lowell Weicker
"Lowell Weicker, Jr."
Luther Strange
Mack Mattingly
Maggie Hassan
Makkein Džon
Malcolm Wallop
Marco Rubio
Marcus Begich
Marcus Brandt Dayton
Marcus Pryor
Marcus Robertus Warner
Marcus Udall
Margaret Wood Hassan
Maria Cantwell
Mark Andrews
Mark Begich
Mark Dayton
Mark Hatfield
Mark Kirk
Mark L. Pryor
Mark Pryor
Mark R. Warner
Mark Udall
Mark Warner
Marko Rubio
Marsha Blackburn
Martha McSally
Martin Heinrich
Mary Kathryn Heitkamp
Mary L. Landrieu
Mary Landrieu
Max Baucus
Max Cleland
Maxwell Cleland
Mazie Hirono
Mazie K. Hirono
Mel Martinez
Mel Martínez
Michael B. Enzi
Michael Bennet
Michael Enzi
Michael F. Bennet
Michael Johanns
Mike Braun
Mike Crapo
Mike DeWine
Mike Enzi
Mike Johanns
Mike Lee
Mike Rounds
Mitch McConnell
Mitt Romney
Mo Cowan
Nancy Kassebaum
Nancy Kassebaum Baker
Nancy Landon Kassebaum
Nicholas Brady
Nicholas F. Brady
Nicholas Frederick Brady
Norm Coleman
Obama Barak
Olympia J. Snowe
Olympia Snowe
Orrin G. Hatch
Orrin Hatch
Pat Roberts
Pat Toomey
Patricius Roberts
Patrick J. Leahy
Patrick J. Toomey
Patrick Joseph Toomey
Patrick Leahy
Patty Murray
Paul Coverdell
Paul G. Kirk
Paul Kirk
