School Shootings in America Since 2013
5/16/2018 Dixon, IL Dixon High School High School Other

5/11/2018 Palmdale, CA Highland High School High School Attack on other persons(s) resulting in injury or death

5/5/2018 Fowlerville, MI Fowlerville High School High School Gun fired but no one injured

5/3/2018 Waynesboro, TN Waynesboro Elementary School Elementary School Gun fired but no one injured

4/22/2018 Atlanta, GA Benjamin Elijah Mays High School High School Gun fired but no one injured

4/20/2018 Ocala, FL Forest High School High School Attack on other persons(s) resulting in injury or death

4/19/2018 Jackson, MI Jackson High School High School Gun fired but no one injured

4/12/2018 Raytown, MO Raytown South Middle School Middle School Attack on other persons(s) resulting in injury or death

3/20/2018 Great Mills, MD Great Mills High School High School Attack on other persons(s) resulting in injury or death

3/16/2018 Missoula, MT Big Sky High School High School Gun fired but no one injured

3/13/2018 Seaside, CA Seaside High School High School Gun fired unintentionally resulting in injury or death

3/13/2018 Alexandria, VA George Washington Middle School Middle School Gun fired but no one injured

3/9/2018 Lexington, KY Frederick Douglass High School High School Gun fired unintentionally resulting in injury or death

3/7/2018 Birmingham, AL Huffman High School High School Other

3/5/2018 Cadet, MO Kingston High School High School Attempted or completed suicide, with no intent to injure other person

3/4/2018 San Marcos, TX Texas State University College or University Gun fired but no one injured

3/2/2018 Mount Pleasant, MI Central Michigan University College or University Attack on other persons(s) resulting in injury or death

2/28/2018 Dalton, GA Dalton High School High School Gun fired but no one injured

2/27/2018 Norfolk, VA Norfolk State University College or University Gun fired unintentionally resulting in injury or death

2/27/2018 Itta Bena, MS Mississippi Valley State University College or University Attack on other persons(s) resulting in injury or death

2/26/2018 Tacoma, WA Oakland High School High School Gun fired but no one injured

2/24/2018 Savannah, GA Savannah State University College or University Attack on other persons(s) resulting in injury or death

2/23/2018 Hammond, LA Southeastern Louisiana University College or University Attack on other persons(s) resulting in injury or death

2/20/2018 Massillon, OH Jackson Memorial Middle School Middle School Other

